                 ALICE                    |                                 BOB
__________________________________________|__________________________________________________________________
                   |                      |               |     +                  |             x
       BASE        |   Polarization       |     BASE      |    D0           D1     |      D2           D3
       [8]        [19]     [28]          [42]    [50]    [58]  [64]   [71]           [86]   [93]    [102]
___________________|______________________|_______________|________________________|_________________________
        +          |        H             |       +       |     0      0    |             
        x          |        D             |       x       |                           |      0        0
        x          |        D             |       x       |                           |      0        0
        x          |        A             |       +       |     0      0    |             
        x          |        D             |       x       |                           |      0        0
        x          |        D             |       x       |                           |      0        0
        x          |        A             |       x       |                           |      0        0
        +          |        V             |       x       |                           |      0        0
        +          |        H             |       +       |     0      0    |             
        +          |        V             |       +       |     0      0    |             
        +          |        H             |       +       |     0      0    |             
        x          |        D             |       x       |                           |      0        0
        +          |        H             |       x       |                           |      0        0
        x          |        A             |       +       |     0      0    |             
        x          |        D             |       x       |                           |      0        0
        +          |        V             |       x       |                           |      0        0
        +          |        V             |       x       |                           |      0        0
        +          |        H             |       x       |                           |      0        0
        x          |        D             |       +       |     0      0    |             
        x          |        D             |       x       |                           |      0        0
        x          |        A             |       x       |                           |      0        0
        +          |        H             |       x       |                           |      0        0
        +          |        V             |       x       |                           |      0        0
        x          |        A             |       +       |     1      1    |             
        +          |        H             |       x       |                           |      1        1
        +          |        H             |       x       |                           |      1        1
        +          |        H             |       x       |                           |      1        1
        x          |        A             |       +       |     1      1    |             
        x          |        A             |       x       |                           |      0        1
        x          |        D             |       x       |                           |      0        1
        +          |        H             |       +       |     1      0    |             
        +          |        V             |       x       |                           |      0        1
        +          |        V             |       +       |     0      1    |             
        +          |        V             |       x       |                           |      0        1
        x          |        D             |       +       |     0      1    |             
        +          |        H             |       x       |                           |      1        1
        x          |        D             |       +       |     0      1    |             
        +          |        V             |       x       |                           |      0        1
        +          |        H             |       x       |                           |      1        1
        +          |        V             |       x       |                           |      0        1
        x          |        D             |       x       |                           |      0        1
        +          |        H             |       x       |                           |      1        1
        x          |        D             |       +       |     0      1    |             
        x          |        A             |       +       |     1      1    |             
        x          |        D             |       x       |                           |      0        1
        +          |        V             |       +       |     0      1    |             
        +          |        V             |       x       |                           |      0        1
        x          |        D             |       x       |                           |      0        1
        x          |        A             |       x       |                           |      0        1
        +          |        V             |       x       |                           |      0        1
        +          |        H             |       x       |                           |      1        1
        +          |        H             |       x       |                           |      1        1
        +          |        V             |       +       |     0      1    |             
        +          |        H             |       x       |                           |      1        1
        x          |        A             |       x       |                           |      0        1
        +          |        H             |       x       |                           |      1        1
        +          |        H             |       +       |     1      0    |             
        x          |        D             |       +       |     0      1    |             
        x          |        D             |       x       |                           |      0        1
        x          |        D             |       +       |     0      1    |             
        +          |        V             |       +       |     0      1    |             
        x          |        A             |       +       |     1      1    |             
        +          |        V             |       x       |                           |      0        1
        +          |        V             |       +       |     0      1    |             
        +          |        V             |       +       |     0      1    |             
        x          |        A             |       +       |     1      1    |             
        +          |        H             |       x       |                           |      1        1
        x          |        D             |       x       |                           |      0        1
        +          |        V             |       +       |     0      1    |             
        +          |        V             |       +       |     0      1    |             
        x          |        D             |       +       |     0      1    |             
        x          |        A             |       x       |                           |      0        1
        x          |        A             |       x       |                           |      0        1
        +          |        H             |       x       |                           |      1        1
        x          |        A             |       x       |                           |      0        1
        x          |        D             |       +       |     0      1    |             
        +          |        V             |       +       |     0      1    |             
        +          |        V             |       +       |     0      1    |             
        +          |        V             |       x       |                           |      0        1
        x          |        A             |       +       |     1      1    |             
        x          |        A             |       x       |                           |      0        1
        x          |        D             |       x       |                           |      0        1
        x          |        A             |       +       |     1      1    |             
        x          |        D             |       +       |     0      1    |             
        x          |        D             |       +       |     0      1    |             
        +          |        H             |       x       |                           |      1        1
        x          |        A             |       +       |     1      1    |             
